Time,x1,x2,x3,y
0.0,0.0,0.0,0.0,0.0
0.001,9.257544793287652e-06,3.9903380075643204e-11,1.3301728181661501e-14,1.3301728181661501e-14
0.002,1.8511661501151313e-05,1.5958464572141192e-10,1.0639938816311321e-13,1.0639938816311321e-13
0.003,2.776235139301716e-05,3.59000498873756e-10,3.5904921494866284e-13,3.5904921494866284e-13
0.004,3.70096157378413e-05,6.381076598740248e-10,8.509641546821199e-13,8.509641546821199e-13
0.005,4.6253455804109936e-05,9.96862867461243e-10,1.6618138830480826e-12,1.6618138830480826e-12
0.006,5.5493872859839554e-05,1.435222878764889e-09,2.8712248236660028e-12,2.8712248236660028e-12
0.007,6.473086817257708e-05,1.953144469297676e-09,4.558780166477029e-12,4.558780166477029e-12
0.008,7.396444300940009e-05,2.5505844329483366e-09,6.804019886123635e-12,6.804019886123635e-12
0.009000000000000001,8.319459863691694e-05,3.2274995819744086e-09,9.686440760322028e-12,9.686440760322028e-12
0.01,9.242133632126695e-05,3.983846746995026e-09,1.3285496388227355e-11,1.3285496388227355e-11
0.011,0.00010164465732812062,4.819582776983709e-09,1.768059720879169e-11,1.768059720879169e-11
0.012,0.00011086456292267973,5.734664539261161e-09,2.295111051911482e-11,2.295111051911482e-11
0.013000000000000001,0.00012008105436967759,6.729048919488067e-09,2.9176360492787824e-11,2.9176360492787824e-11
0.014,0.00012929413293337913,7.80269282165789e-09,3.6435628198229454e-11,3.6435628198229454e-11
0.015,0.0001385037998775812,8.955553168089679e-09,4.4808151617015316e-11,4.4808151617015316e-11
0.016,0.00014771005646561255,1.0187586899420872e-08,5.437312566219987e-11,5.437312566219987e-11
0.017,0.00015691290396033423,1.1498750974600103e-08,6.520970219663119e-11,6.520970219663119e-11
0.018000000000000002,0.00016611234362413958,1.2889002370880023e-08,7.739699005125862e-11,7.739699005125862e-11
0.019,0.0001753083767189545,1.4358298083810098e-08,9.101405504343313e-11,9.101405504343313e-11
0.02,0.0001845010045062376,1.5906595127229442e-08,1.0613991999520062e-10,1.0613991999520062e-10
0.021,0.00019369022824698031,1.7533850533259626e-08,1.228535647515879e-10,1.228535647515879e-10
0.022,0.00020287604920170722,1.9240021352297502e-08,1.4123392619888156e-10,1.4123392619888156e-10
0.023,0.00021205846863047605,2.1025064653008032e-08,1.6135989828289976e-10,1.6135989828289976e-10
0.024,0.000221237487792878,2.2888937522317117e-08,1.8331033202725666e-10,1.8331033202725666e-10
0.025,0.00023041310794803777,2.4831597065404417e-08,2.0716403555161978e-10,2.0716403555161978e-10
0.026000000000000002,0.00023958533035461384,2.6853000405696196e-08,2.3299977408996024e-10,2.3299977408996024e-10
0.027,0.0002487541562707986,2.8953104684858154e-08,2.608962700087957e-10,2.608962700087957e-10
0.028,0.00025791958695431854,3.113186706278826e-08,2.909322028254263e-10,2.909322028254263e-10
0.029,0.00026708162366243437,3.33892447176096e-08,3.2318620922616315e-10,3.2318620922616315e-10
0.03,0.00027624026765194127,3.572519484566323e-08,3.5773688308455025e-10,3.5773688308455025e-10
0.031,0.000285395520179169,3.813967466150099e-08,3.9466277547957855e-10,3.9466277547957855e-10
0.032,0.0002945473824999822,4.06326413978784e-08,4.340423947138932e-10,4.340423947138932e-10
0.033,0.00030369585586978025,4.3204052305747465e-08,4.759542063319939e-10,4.759542063319939e-10
0.034,0.0003128409415434979,4.585386465424957e-08,5.204766331384273e-10,5.204766331384273e-10
0.035,0.000321982640775605,4.858203573070832e-08,5.676880552159735e-10,5.676880552159735e-10
0.036000000000000004,0.000331120954820107,5.138852284062239e-08,6.176668099438243e-10,6.176668099438243e-10
0.037,0.00034025588493054494,5.427328330765841e-08,6.704911920157544e-10,6.704911920157544e-10
0.038,0.0003493874323599956,5.723627447364381e-08,7.262394534582865e-10,7.262394534582865e-10
0.039,0.0003585155983610719,6.027745369855971e-08,7.849898036488481e-10,7.849898036488481e-10
0.04,0.00036764038418592274,6.339677836053377e-08,8.468204093339214e-10,8.468204093339214e-10
0.041,0.0003767617910862335,6.659420585583309e-08,9.11809394647187e-10,9.11809394647187e-10
0.042,0.0003858798203132259,6.986969359885705e-08,9.80034841127659e-10,9.80034841127659e-10
0.043000000000000003,0.00039499447311765857,7.32231990221302e-08,1.0515747877378142e-09,1.0515747877378142e-09
0.044,0.0004041057507498267,7.66546795762952e-08,1.1265072308817137e-09,1.1265072308817137e-09
0.045,0.0004132136544595627,8.016409273010563e-08,1.204910124423117e-09,1.204910124423117e-09
0.046,0.0004223181854962361,8.375139597041888e-08,1.2868613797035897e-09,1.2868613797035897e-09
0.047,0.0004314193451087537,8.74165468021891e-08,1.3724388655606044e-09,1.3724388655606044e-09
0.048,0.00044051713454555994,9.115950274846005e-08,1.4617204083456325e-09,1.4617204083456325e-09
0.049,0.00044961155505463695,9.498022135035799e-08,1.5547837919422313e-09,1.5547837919422313e-09
0.05,0.00045870260788350467,9.88786601670846e-08,1.6517067577841226e-09,1.6517067577841226e-09
0.051000000000000004,0.00046779029427922115,1.0285477677590987e-07,1.7525670048732648e-09,1.7525670048732648e-09
0.052000000000000005,0.0004768746154883826,1.06908528772165e-07,1.8574421897979173e-09,1.8574421897979173e-09
0.053,0.0004859555727571236,1.1103987376923535e-07,1.9664099267506984e-09,1.9664099267506984e-09
0.054,0.0004950331673311174,1.1524876939855326e-07,2.079547787546636e-09,2.079547787546636e-09
0.055,0.0005041074004555758,1.1953517330959103e-07,2.1969333016412103e-09,2.1969333016412103e-09
0.056,0.0005131782733752496,1.2389904316985384e-07,2.318643956148392e-09,2.318643956148392e-09
0.057,0.0005222457873344287,1.283403366648726e-07,2.4447571958586695e-09,2.4447571958586695e-09
0.058,0.0005313099435769423,1.3285901149819699e-07,2.575350423257072e-09,2.575350423257072e-09
0.059000000000000004,0.0005403707433461586,1.3745502539138824e-07,2.7105009985411855e-09,2.7105009985411855e-09
0.06,0.0005494281878849859,1.4212833608401216e-07,2.8502862396391593e-09,2.8502862396391593e-09
0.061,0.0005584822784358719,1.46878901333632e-07,2.9947834222277084e-09,2.9947834222277084e-09
0.062,0.0005675330162408044,1.5170667891580143e-07,3.144069779750107e-09,3.144069779750107e-09
0.063,0.0005765804025413113,1.5661162662405745e-07,3.298222503434174e-09,3.298222503434174e-09
0.064,0.0005856244385784606,1.6159370226991334e-07,3.457318742310256e-09,3.457318742310256e-09
0.065,0.000594665125592861,1.6665286368285158e-07,3.6214356032291958e-09,3.6214356032291958e-09
0.066,0.0006037024648246613,1.7178906871031679e-07,3.790650150880302e-09,3.790650150880302e-09
0.067,0.0006127364575135517,1.7700227521770873e-07,3.965039407809306e-09,3.965039407809306e-09
0.068,0.0006217671048987628,1.8229244108837514e-07,4.144680354436313e-09,4.144680354436313e-09
0.069,0.0006307944082190668,1.876595242236048e-07,4.329649929073746e-09,4.329649929073746e-09
0.07,0.0006398183687127767,1.9310348254262043e-07,4.520025027944286e-09,4.520025027944286e-09
0.07100000000000001,0.0006488389876177472,1.9862427398257162e-07,4.715882505198801e-09,4.715882505198801e-09
0.07200000000000001,0.0006578562661713748,2.0422185649852783e-07,4.917299172934267e-09,4.917299172934267e-09
0.073,0.0006668702056105974,2.0989618806347134e-07,5.124351801211689e-09,5.124351801211689e-09
0.074,0.0006758808071718951,2.1564722666829023e-07,5.337117118074005e-09,5.337117118074005e-09
0.075,0.00068488807209129,2.2147493032177125e-07,5.555671809563993e-09,5.555671809563993e-09
0.076,0.0006938920016043467,2.2737925705059295e-07,5.780092519742164e-09,5.780092519742164e-09
0.077,0.0007028925969461722,2.3336016489931852e-07,6.010455850704651e-09,6.010455850704651e-09
0.078,0.0007118898593514158,2.394176119303888e-07,6.246838362601087e-09,6.246838362601087e-09
0.079,0.0007208837900542701,2.455515562241153e-07,6.4893165736524846e-09,6.4893165736524846e-09
0.08,0.0007298743902884705,2.517619558786731e-07,6.737966960169099e-09,6.737966960169099e-09
0.081,0.0007388616612872954,2.5804876901009387e-07,6.992865956568289e-09,6.992865956568289e-09
0.082,0.0007478456042835667,2.644119537522589e-07,7.254089955392372e-09,7.254089955392372e-09
0.083,0.0007568262205096495,2.7085146825689207e-07,7.521715307326467e-09,7.521715307326467e-09
0.084,0.0007658035111974531,2.773672706935527e-07,7.795818321216336e-09,7.795818321216336e-09
0.085,0.0007747774775784301,2.8395931924962874e-07,8.076475264086217e-09,8.076475264086217e-09
0.08600000000000001,0.0007837481208835773,2.9062757213032966e-07,8.36376236115664e-09,8.36376236115664e-09
0.08700000000000001,0.0007927154423434355,2.9737198755867946e-07,8.657755795862263e-09,8.657755795862263e-09
0.088,0.0008016794431880901,3.041925237755097e-07,8.958531709869665e-09,8.958531709869665e-09
0.089,0.0008106401246471709,3.1108913903945253e-07,9.26616620309516e-09,9.26616620309516e-09
0.09,0.0008195974879498522,3.180617916269335e-07,9.580735333722588e-09,9.580735333722588e-09
0.091,0.0008285515343248534,3.251104398321649e-07,9.902315118221116e-09,9.902315118221116e-09
0.092,0.0008375022650004386,3.3223504196713843e-07,1.0230981531363006e-08,1.0230981531363006e-08
0.093,0.0008464496812044174,3.394355563616185e-07,1.0566810506241402e-08,1.0566810506241402e-08
0.094,0.0008553937841641445,3.4671194136313495e-07,1.0909877934288096e-08,1.0909877934288096e-08
0.095,0.0008643345751065202,3.540641553369764e-07,1.1260259665291288e-08,1.1260259665291288e-08
0.096,0.0008732720552579904,3.61492156666183e-07,1.1618031507413344e-08,1.1618031507413344e-08
0.097,0.0008822062258445469,3.689959037515397e-07,1.1983269227208543e-08,1.1983269227208543e-08
0.098,0.0008911370880917277,3.76575355011569e-07,1.2356048549640821e-08,1.2356048549640821e-08
0.099,0.0009000646432246166,3.8423046888252405e-07,1.2736445158101497e-08,1.2736445158101497e-08
0.1,0.000908988892467844,3.9196120381838195e-07,1.312453469442701e-08,1.312453469442701e-08
0.101,0.0009179098370455868,3.997675182908364e-07,1.3520392758916635e-08,1.3520392758916635e-08
0.10200000000000001,0.0009268274781815684,4.0764937078929115e-07,1.3924094910350192e-08,1.3924094910350192e-08
0.10300000000000001,0.0009357418170990594,4.1560671982085255e-07,1.4335716666005761e-08,1.4335716666005761e-08
0.10400000000000001,0.0009446528550208773,4.23639523910323e-07,1.4755333501677376e-08,1.4755333501677376e-08
0.105,0.0009535605931693864,4.3174774160019383e-07,1.5183020851692718e-08,1.5183020851692718e-08
0.106,0.000962465032766499,4.3993133145063837e-07,1.5618854108930798e-08,1.5618854108930798e-08
0.107,0.0009713661750336743,4.48190252039505e-07,1.6062908624839645e-08,1.6062908624839645e-08
0.108,0.0009802640211919195,4.565244619623101e-07,1.6515259709453964e-08,1.6515259709453964e-08
0.109,0.00098915857246179,4.6493391983223136e-07,1.6975982631412813e-08,1.6975982631412813e-08
0.11,0.0009980498300633885,4.734185842801006e-07,1.7445152617977253e-08,1.7445152617977253e-08
0.111,0.0010069377952163663,4.81978413954397e-07,1.7922844855048e-08,1.7922844855048e-08
0.112,0.0010158224691399233,4.906133675212398e-07,1.8409134487183072e-08,1.8409134487183072e-08
